,Sentence,Entity1,Entity2,relation
0,"In a 3-0 victory over the Crew on Saturday in Columbus , Ohio , goalkeeper Zach Wells stopped Kyle Martino 's penalty kick , only the third unsuccessful penalty in 20 attempts in M.L.S. this season .",Zach Wells,Kyle,stopped
1,"NEARLY two years after Charles Taylor fled Monrovia under pressure from advancing rebels and a force of Marines on ships off Liberia , he sits exiled in Nigeria , plotting to undermine an international effort to rebuild the country he did so much to destroy .",Charles Taylor,Monrovia,fled
2,"Defensively , the Giants rarely touched Eagles quarterback Donovan McNabb , and the secondary kept away from Philadelphia receivers as if they were toxic .",Eagles,Donovan,quarterback
3,"On Dec. 25 , in a driving rain , the news that Charles Taylor had attacked Liberia reached Monrovia .",Liberia,Monrovia,reached
4,"Last week , Mr. O'Connell sipped Sprite in the tchotchke-filled living room of his two-family brick house in Bay Ridge , Brooklyn , which he shares with a grown son and daughter , and recalled his first day as a bellman .",Mr. O'Connell,Sprite,sipped
5,"Adjusting to retirement has not been easy for Mr. O'Connell , after a career that included the peculiar -LRB- Elton John popping out of an elevator wearing a construction boot on one foot and a sneaker on the other -RRB- and the stressful -LRB- directing traffic in the lobby while Prime Minister Jawaharlal Nehru of India entertained Nikita Khrushchev , the Soviet premier , and Prime Minister Castro of Cuba in the second-floor dining room -RRB- .",India,Nikita,entertained
6,"Still , even fellow Democrats said Mr. Menendez had created many enemies during his years in the trenches of Hudson County politics , where he has been a political leader and is known to have waged protracted warfare against his rivals , such as the Jersey City mayor , Glenn D. Cunningham , who died last year .",Democrats,Mr.,said
7,"The Pacific Tsunami Warning Center , in Ewa Beach , Hawaii , which tracked last month 's tsunami , was established after tidal waves generated by an earthquake in the Aleutian Islands struck Hilo , Hawaii , in 1946 , wrecking the town 's waterfront and killing 159 people there .",Aleutian Islands,Hilo,struck
8,"Gatlin , a 24-year-old native of Brooklyn , took a hundredth of a second off the time Asafa Powell of Jamaica ran June 14 in Athens .",Jamaica,June,ran
9,"For now , Toyota 's quality issues do not seem to be damping its operations either in Japan , where it is the biggest automaker , or the United States , where Toyota passed Ford in July to rank as the No. 2 company in terms of auto sales .",Toyota,Ford,passed
10,"Canada Makes ` Terrorism ' Arrests MONTREAL , June 2 -LRB- Reuters -RRB- -- The Royal Canadian Mounted Police said Friday that it had arrested a number of individuals in the Toronto area for '' terrorism-related offenses . ''",Mounted Police,Friday,said
11,"-LRB- AP -RRB- BIG DAY FOR NORWAY -- Petter Tande and Magnus Moan gave Norway two World Cup victories yesterday in Nordic combined events in Ramsau , Austria .",Magnus Moan,Norway,gave
12,"Viola Bauer of Germany edged Renner in the final 10 meters to spoil Scott and Renner 's chance at a gold medal before an exuberant crowd in Canmore , Alberta .",Germany,Renner,edged
13,"Even as Boston introduced Hoyer , 32 , and Cherington , 31 , at a news conference at Fenway Park , there were unanswered questions about Epstein 's future .",Boston,Hoyer,introduced
14,"John Doyle , who directed recent actor-as-musician revivals of both '' Sweeney Todd '' and '' Company , '' will bring his signature touch to a straight play when he mounts a revival of Peter Shaffer 's '' Amadeus , '' at Wilton 's Music Hall in London beginning Sept. 19 .",London,Sept.,beginning
15,"At a news conference in Tehran on Thursday , Mr. Larijani urged Europe to continue the talks with Iran . ''",Mr. Larijani,Europe,urged
16,"Chairman of Citigroup Tells Employees That He Will Stay Until Next April Sanford I. Weill told Citigroup employees that he now planned to stay on as chairman until his scheduled retirement next April , ending an internal debate that had spilled outside the bank over his plans to leave and to start a private equity fund .",I. Weill,Citigroup,told
